Offense Code,District,Frequency
2641,b3,1
2641,c11,1
2641,d4,1
2641,e13,1
2642,a1,4
2642,a15,2
2642,a7,1
2642,b2,4
2642,b3,5
2642,c11,1
2642,c6,3
2642,d4,4
2642,e13,2
2642,e18,4
2642,e5,1
2646,a1,50
2646,a15,1
2646,a7,14
2646,b2,489
2646,b3,84
2646,c11,30
2646,c6,14
2646,d14,8
2646,d4,70
2646,e13,19
2646,e18,1
2646,e5,4
2647,a1,615
2647,a15,143
2647,a7,385
2647,b2,1775
2647,b3,1315
2647,c11,1402
2647,c6,597
2647,d14,432
2647,d4,851
2647,e13,483
2647,e18,611
2647,e5,412
2648,a1,12
2648,a15,4
2648,a7,4
2648,b2,15
2648,b3,2
2648,c11,7
2648,c6,6
2648,d14,11
2648,d4,12
2648,e18,2
2657,a1,99
2657,a15,3
2657,a7,16
2657,b2,27
2657,b3,38
2657,c11,27
2657,c6,80
2657,d14,3
2657,d4,27
2657,e13,19
2657,e18,18
2657,e5,6
2660,a1,127
2660,a15,5
2660,a7,26
2660,b2,76
2660,b3,60
2660,c11,58
2660,c6,33
2660,d14,27
2660,d4,116
2660,e13,48
2660,e18,39
2660,e5,24
2662,a1,20
2662,a15,12
2662,a7,21
2662,b2,256
2662,b3,197
2662,c11,227
2662,c6,64
2662,d14,20
2662,d4,44
2662,e13,78
2662,e18,22
2662,e5,15
2663,a1,12
2663,a15,2
2663,a7,8
2663,b2,5
2663,b3,2
2663,c11,5
2663,c6,11
2663,d14,3
2663,d4,2
2663,e5,1
2664,a1,2
2664,b2,1
2664,b3,2
2664,d4,1
2664,e18,3
2670,a1,11
2670,a15,1
2670,a7,7
2670,b2,20
2670,b3,5
2670,c11,17
2670,c6,9
2670,d14,22
2670,d4,15
2670,e13,8
2670,e18,9
2670,e5,7
2672,a1,2
2900,a1,167
2900,a15,55
2900,a7,108
2900,b2,567
2900,b3,365
2900,c11,454
2900,c6,191
2900,d14,154
2900,d4,286
2900,e13,181
2900,e18,165
2900,e5,167
2905,a1,100
2905,a15,38
2905,a7,195
2905,b2,441
2905,b3,222
2905,c11,320
2905,c6,83
2905,d14,112
2905,d4,157
2905,e13,119
2905,e18,78
2905,e5,80
2906,a1,56
2906,a15,11
2906,a7,40
2906,b2,264
2906,b3,163
2906,c11,176
2906,c6,32
2906,d14,40
2906,d4,82
2906,e13,93
2906,e18,44
2906,e5,43
2907,a1,143
2907,a15,30
2907,a7,90
2907,b2,622
2907,b3,397
2907,c11,481
2907,c6,88
2907,d14,85
2907,d4,225
2907,e13,184
2907,e18,126
2907,e5,102
2910,a1,1
2910,b2,1
2914,a1,11
2914,a15,6
2914,a7,11
2914,b2,87
2914,b3,94
2914,c11,105
2914,c6,22
2914,d14,15
2914,d4,20
2914,e13,23
2914,e18,47
2914,e5,21
3001,a1,94
3001,a15,34
3001,a7,87
3001,b2,207
3001,b3,92
3001,c11,157
3001,c6,116
3001,d14,97
3001,d4,158
3001,e13,72
3001,e18,38
3001,e5,57
3002,a1,18
3002,a15,12
3002,a7,27
3002,b2,34
3002,b3,30
3002,c11,52
3002,c6,35
3002,d14,37
3002,d4,27
3002,e13,23
3002,e18,32
3002,e5,39
3004,a1,12
3004,a15,1
3004,a7,1
3004,b2,7
3004,b3,3
3004,c11,4
3004,c6,3
3004,d14,9
3004,d4,12
3004,e13,4
3004,e5,1
3006,a1,1818
3006,a15,368
3006,a7,1040
3006,b2,2684
3006,b3,1869
3006,c11,2659
3006,c6,1508
3006,d14,1260
3006,d4,1868
3006,e13,1127
3006,e18,1349
3006,e5,1187
3007,a1,85
3007,a15,39
3007,a7,50
3007,b2,177
3007,b3,135
3007,c11,179
3007,c6,94
3007,d14,102
3007,d4,143
3007,e13,95
3007,e18,130
3007,e5,118
3008,a1,36
3008,a15,11
3008,a7,25
3008,b2,40
3008,b3,19
3008,c11,54
3008,c6,31
3008,d14,31
3008,d4,39
3008,e13,21
3008,e18,19
3008,e5,29
301,a1,497
301,a15,51
301,a7,161
301,b2,573
301,b3,334
301,c11,394
301,c6,167
301,d14,110
301,d4,444
301,e13,176
301,e18,84
301,e5,48
3016,a7,3
3016,b2,1
3016,b3,1
3016,c11,1
3016,e13,1
3016,e18,3
3018,a1,180
3018,a15,18
3018,a7,68
3018,b2,203
3018,b3,134
3018,c11,168
3018,c6,128
3018,d14,105
3018,d4,121
3018,e13,82
3018,e18,109
3018,e5,78
3029,a1,2
3029,a7,1
3029,b2,1
3029,b3,3
3029,c11,2
3029,c6,4
3029,d14,3
3029,d4,1
3029,e13,6
3102,a1,18
3102,a15,8
3102,a7,16
3102,b2,7
3102,b3,20
3102,c11,15
